구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,3238,150.61919504643964,565731.0,560827.0,4904.0,64579.0,0.8668430755959988,11.415142532404978,0.5723568268311264,1543.3906125329725
강동구,1010,166.49076517150397,446760.0,442654.0,4106.0,55902.0,0.9190616886023816,12.512758528068762,0.2260721640254275,-550.7890254901838
강북구,831,125.20325203252031,329042.0,325552.0,3490.0,56078.0,1.0606548708067665,17.042809124671017,0.25255134602877444,-597.3780566726559
강서구,911,134.7938144329897,607877.0,601391.0,6486.0,75046.0,1.0669921711135641,12.345589650537855,0.1498658445705299,-831.0158392567582
관악구,2109,149.29078014184398,522849.0,505188.0,17661.0,69486.0,3.377839490942892,13.289879104674581,0.40336693768181636,462.62492814174266
광진구,878,53.22862129144852,372414.0,357743.0,14671.0,43579.0,3.939432996611298,11.70176201753962,0.23575912828196574,-599.1635316174716
구로구,1884,64.97373029772329,443288.0,412972.0,30316.0,58260.0,6.838894804280739,13.14269729837036,0.42500586526141015,327.1163320909377
금천구,1348,100.0,253646.0,235608.0,18038.0,33818.0,7.111486086908527,13.33275509962704,0.5314493427848261,4.428492920153531
노원구,1566,188.929889298893,562278.0,558432.0,3846.0,73588.0,0.6840032866304568,13.087476301758205,0.27850991858120006,-124.72540137036503
도봉구,825,246.6386554621849,347338.0,345293.0,2045.0,52909.0,0.5887636826376613,15.232712804242555,0.23752080106409318,-623.9576713916072
동대문구,1870,74.76635514018692,367769.0,352011.0,15758.0,55287.0,4.284754832517151,15.03307782874576,0.5084713502225582,398.0612339252441
동작구,1302,139.33823529411765,410703.0,398501.0,12202.0,56902.0,2.971003377136276,13.854780705278511,0.3170174067391765,-218.23157206204542
마포구,980,212.1019108280255,387776.0,376610.0,11166.0,49436.0,2.8794974418220827,12.748597128238984,0.2527232216537383,-514.4429392099796
서대문구,1254,48.5781990521327,326479.0,314182.0,12297.0,48985.0,3.7665516005623636,15.004027824147956,0.38409821152355894,-171.4951559006472
서초구,2297,63.37126600284495,447177.0,442833.0,4344.0,52738.0,0.9714274213566441,11.793540365448134,0.5136668478029952,735.741926666692
성동구,1327,81.78082191780823,312933.0,304879.0,8054.0,40902.0,2.573713862072712,13.070529474360326,0.424052432948906,-83.25841229642151
성북구,1651,63.62735381565907,458261.0,446457.0,11804.0,65937.0,2.575824693788038,14.388525316359019,0.36027503976991276,77.27447752235139
송파구,1081,104.34782608695652,668366.0,661750.0,6616.0,75301.0,0.9898768040265362,11.266431865175667,0.16173773052489204,-729.0547720691018
양천구,2482,34.67173087357569,476627.0,472730.0,3897.0,54598.0,0.8176204872992927,11.45507912896248,0.520742635226288,887.6161257553938
영등포구,1277,157.97979797979798,401908.0,368818.0,33090.0,53620.0,8.233227504802095,13.341361704668731,0.31773440687918625,-233.33882438751675
용산구,2096,53.216374269005854,243922.0,228960.0,14962.0,36727.0,6.13392805896967,15.05686243963234,0.8592910848549946,763.3661937032252
은평구,2108,85.23725834797891,491899.0,487507.0,4392.0,73850.0,0.892866218471678,15.013244588828195,0.4285432578639111,496.4379515103226
종로구,1619,248.92241379310346,164640.0,155109.0,9531.0,26034.0,5.78899416909621,15.81268221574344,0.983357628765792,375.54377427536565
중구,1023,147.6997578692494,134174.0,125332.0,8842.0,21249.0,6.5899503629615275,15.836898355866264,0.7624427981576162,-186.18761280227068
중랑구,916,79.96070726915521,414554.0,410109.0,4445.0,58675.0,1.0722366688055116,14.153765251330345,0.2209603573961414,-608.5632345173733
