16. 8. 26.,541
16. 8. 27.,307
16. 8. 28.,351
16. 8. 29.,613
16. 8. 30.,649
16. 8. 31.,666
16. 9. 1.,702
16. 9. 2.,626
16. 9. 3.,351
16. 9. 4.,419
16. 9. 5.,828
16. 9. 6.,843
16. 9. 7.,929
16. 9. 8.,806
16. 9. 9.,747
16. 9. 10.,444
16. 9. 11.,592
16. 9. 12.,797
16. 9. 13.,654
16. 9. 14.,319
16. 9. 15.,278
16. 9. 16.,349
16. 9. 17.,467
16. 9. 18.,599
16. 9. 19.,"1,008"
16. 9. 20.,"1,042"
16. 9. 21.,"1,031"
16. 9. 22.,"1,017"
16. 9. 23.,818
16. 9. 24.,582
16. 9. 25.,724
16. 9. 26.,"1,183"
16. 9. 27.,"1,211"
16. 9. 28.,"1,318"
16. 9. 29.,"1,174"
16. 9. 30.,968
16. 10. 1.,666
16. 10. 2.,705
16. 10. 3.,"1,003"
16. 10. 4.,"1,445"
16. 10. 5.,"1,359"
16. 10. 6.,"1,317"
16. 10. 7.,"1,056"
16. 10. 8.,768
16. 10. 9.,"1,236"
16. 10. 10.,"1,472"
16. 10. 11.,"1,452"
16. 10. 12.,"1,419"
16. 10. 13.,"1,318"
16. 10. 14.,"1,047"
16. 10. 15.,816
16. 10. 16.,948
16. 10. 17.,"1,407"
16. 10. 18.,"1,387"
16. 10. 19.,"1,311"
16. 10. 20.,"1,278"
16. 10. 21.,"1,086"
16. 10. 22.,717
16. 10. 23.,844
16. 10. 24.,"1,285"
16. 10. 25.,"1,276"
16. 10. 26.,"1,197"
16. 10. 27.,"1,146"
16. 10. 28.,830
16. 10. 29.,596
16. 10. 30.,776
16. 10. 31.,"1,304"
16. 11. 1.,"1,285"
16. 11. 2.,"1,350"
16. 11. 3.,"1,287"
16. 11. 4.,"1,114"
16. 11. 5.,663
16. 11. 6.,871
16. 11. 7.,"1,488"
16. 11. 8.,"1,525"
16. 11. 9.,"1,343"
16. 11. 10.,"1,283"
16. 11. 11.,"1,066"
16. 11. 12.,643
16. 11. 13.,834
16. 11. 14.,"1,366"
16. 11. 15.,"1,498"
16. 11. 16.,"1,415"
16. 11. 17.,"1,343"
16. 11. 18.,"1,112"
16. 11. 19.,691
16. 11. 20.,917
16. 11. 21.,"1,463"
16. 11. 22.,"1,491"
16. 11. 23.,"1,521"
16. 11. 24.,"1,368"
16. 11. 25.,"1,162"
16. 11. 26.,744
16. 11. 27.,952
16. 11. 28.,"1,445"
16. 11. 29.,"1,590"
16. 11. 30.,"1,893"
16. 12. 1.,"1,784"
16. 12. 2.,"1,590"
16. 12. 3.,"1,080"
16. 12. 4.,"1,082"
16. 12. 5.,"1,542"
16. 12. 6.,"1,731"
16. 12. 7.,"1,428"
16. 12. 8.,"1,437"
16. 12. 9.,"1,311"
16. 12. 10.,887
16. 12. 11.,962
16. 12. 12.,"1,445"
16. 12. 13.,"1,533"
16. 12. 14.,"1,551"
16. 12. 15.,"1,507"
16. 12. 16.,"1,258"
16. 12. 17.,851
16. 12. 18.,767
16. 12. 19.,"1,195"
16. 12. 20.,"1,158"
16. 12. 21.,"1,026"
16. 12. 22.,883
16. 12. 23.,747
16. 12. 24.,353
16. 12. 25.,356
16. 12. 26.,848
16. 12. 27.,895
16. 12. 28.,911
16. 12. 29.,848
16. 12. 30.,622
16. 12. 31.,349
17. 1. 1.,353
17. 1. 2.,883
17. 1. 3.,966
17. 1. 4.,976
17. 1. 5.,"1,042"
17. 1. 6.,925
17. 1. 7.,446
17. 1. 8.,576
17. 1. 9.,"1,059"
17. 1. 10.,"1,063"
17. 1. 11.,"1,015"
17. 1. 12.,"1,013"
17. 1. 13.,892
17. 1. 14.,495
17. 1. 15.,465
17. 1. 16.,"1,013"
17. 1. 17.,"1,017"
17. 1. 18.,968
17. 1. 19.,913
17. 1. 20.,899
17. 1. 21.,435
17. 1. 22.,457
17. 1. 23.,"1,013"
17. 1. 24.,943
17. 1. 25.,855
17. 1. 26.,693
17. 1. 27.,361
17. 1. 28.,294
17. 1. 29.,317
17. 1. 30.,481
17. 1. 31.,931
17. 2. 1.,932
17. 2. 2.,918
17. 2. 3.,874
17. 2. 4.,457
17. 2. 5.,511
17. 2. 6.,999
17. 2. 7.,"1,033"
17. 2. 8.,"1,028"
17. 2. 9.,"1,005"
17. 2. 10.,878
17. 2. 11.,541
17. 2. 12.,476
17. 2. 13.,994
17. 2. 14.,"1,096"
17. 2. 15.,"1,035"
17. 2. 16.,950
17. 2. 17.,864
17. 2. 18.,546
17. 2. 19.,582
17. 2. 20.,"1,100"
17. 2. 21.,"1,070"
17. 2. 22.,"1,052"
17. 2. 23.,"1,003"
17. 2. 24.,890
17. 2. 25.,538
17. 2. 26.,548
17. 2. 27.,"1,058"
17. 2. 28.,978
17. 3. 1.,608
17. 3. 2.,"1,013"
17. 3. 3.,934
17. 3. 4.,531
17. 3. 5.,645
17. 3. 6.,"1,139"
17. 3. 7.,"1,405"
17. 3. 8.,"2,016"
17. 3. 9.,"1,747"
17. 3. 10.,"1,223"
17. 3. 11.,795
17. 3. 12.,938
17. 3. 13.,"1,622"
17. 3. 14.,"1,585"
17. 3. 15.,"1,715"
17. 3. 16.,"1,733"
17. 3. 17.,"1,437"
17. 3. 18.,855
17. 3. 19.,"1,463"
17. 3. 20.,"2,101"
17. 3. 21.,"1,914"
17. 3. 22.,"1,891"
17. 3. 23.,"1,786"
17. 3. 24.,"1,437"
17. 3. 25.,994
17. 3. 26.,"1,227"
17. 3. 27.,"2,036"
17. 3. 28.,"2,083"
17. 3. 29.,"1,969"
17. 3. 30.,"1,722"
17. 3. 31.,"1,482"
17. 4. 1.,954
17. 4. 2.,"1,239"
17. 4. 3.,"2,032"
17. 4. 4.,"2,013"
17. 4. 5.,"2,025"
17. 4. 6.,"1,875"
17. 4. 7.,"1,955"
17. 4. 8.,"1,063"
17. 4. 9.,"1,385"
17. 4. 10.,"2,052"
17. 4. 11.,"2,068"
17. 4. 12.,"1,946"
17. 4. 13.,"1,780"
17. 4. 14.,"1,664"
17. 4. 15.,"1,142"
17. 4. 16.,"1,188"
17. 4. 17.,"1,881"
17. 4. 18.,"1,985"
17. 4. 19.,"1,817"
17. 4. 20.,"1,812"
17. 4. 21.,"1,399"
17. 4. 22.,911
17. 4. 23.,"1,082"
17. 4. 24.,"1,706"
17. 4. 25.,"1,680"
17. 4. 26.,"1,680"
17. 4. 27.,"1,503"
17. 4. 28.,"1,271"
17. 4. 29.,739
17. 4. 30.,915
17. 5. 1.,"1,304"
17. 5. 2.,"1,258"
17. 5. 3.,908
17. 5. 4.,"1,133"
17. 5. 5.,728
17. 5. 6.,772
17. 5. 7.,"1,013"
17. 5. 8.,"1,458"
17. 5. 9.,"1,251"
17. 5. 10.,"1,738"
17. 5. 11.,"1,756"
17. 5. 12.,"1,354"
17. 5. 13.,950
17. 5. 14.,"1,142"
17. 5. 15.,"1,745"
17. 5. 16.,"1,860"
17. 5. 17.,"1,726"
17. 5. 18.,"1,622"
17. 5. 19.,"1,255"
17. 5. 20.,902
17. 5. 21.,"1,093"
17. 5. 22.,"1,764"
17. 5. 23.,"1,851"
17. 5. 24.,"1,726"
17. 5. 25.,"1,629"
17. 5. 26.,"1,324"
17. 5. 27.,"1,072"
17. 5. 28.,"1,250"
17. 5. 29.,"1,997"
17. 5. 30.,"1,997"
17. 5. 31.,"2,001"
17. 6. 1.,"1,844"
17. 6. 2.,"1,606"
17. 6. 3.,"1,250"
17. 6. 4.,"1,447"
17. 6. 5.,"1,870"
17. 6. 6.,"1,616"
17. 6. 7.,"2,127"
17. 6. 8.,"1,905"
17. 6. 9.,"1,676"
17. 6. 10.,"1,246"
17. 6. 11.,"1,329"
17. 6. 12.,"1,900"
17. 6. 13.,"1,918"
17. 6. 14.,"1,807"
17. 6. 15.,"1,747"
17. 6. 16.,"1,502"
17. 6. 17.,"1,026"
17. 6. 18.,"1,093"
17. 6. 19.,"1,680"
17. 6. 20.,"1,629"
17. 6. 21.,"1,391"
17. 6. 22.,"1,236"
17. 6. 23.,"1,072"
17. 6. 24.,642
17. 6. 25.,664
17. 6. 26.,"1,163"
17. 6. 27.,"1,273"
17. 6. 28.,"1,186"
17. 6. 29.,"1,172"
17. 6. 30.,"1,052"
17. 7. 1.,601
17. 7. 2.,629
17. 7. 3.,"1,299"
17. 7. 4.,"1,355"
17. 7. 5.,"1,318"
17. 7. 6.,"1,303"
17. 7. 7.,"1,253"
17. 7. 8.,"1,015"
17. 7. 9.,751
17. 7. 10.,"1,405"
17. 7. 11.,"1,484"
17. 7. 12.,"1,433"
17. 7. 13.,"1,472"
17. 7. 14.,"1,170"
17. 7. 15.,663
17. 7. 16.,679
17. 7. 17.,"1,382"
17. 7. 18.,"1,449"
17. 7. 19.,"1,364"
17. 7. 20.,"1,431"
17. 7. 21.,"1,172"
17. 7. 22.,883
17. 7. 23.,742
17. 7. 24.,"1,486"
17. 7. 25.,"1,440"
17. 7. 26.,"1,355"
17. 7. 27.,"1,343"
17. 7. 28.,"1,192"
17. 7. 29.,629
17. 7. 30.,675
17. 7. 31.,"1,248"
17. 8. 1.,"1,392"
17. 8. 2.,"1,318"
17. 8. 3.,"1,313"
17. 8. 4.,"1,103"
17. 8. 5.,643
17. 8. 6.,647
17. 8. 7.,"1,382"
17. 8. 8.,"1,370"
17. 8. 9.,"2,228"
17. 8. 10.,"1,745"
17. 8. 11.,"1,292"
17. 8. 12.,675
17. 8. 13.,684
17. 8. 14.,"1,186"
17. 8. 15.,807
17. 8. 16.,"1,340"
17. 8. 17.,"1,429"
17. 8. 18.,"1,200"
17. 8. 19.,638
17. 8. 20.,694
17. 8. 21.,"1,296"
17. 8. 22.,"1,378"
17. 8. 23.,"1,352"
17. 8. 24.,"1,331"
17. 8. 25.,"1,109"
17. 8. 26.,719
17. 8. 27.,682
17. 8. 28.,"1,308"
17. 8. 29.,"1,313"
17. 8. 30.,"1,297"
17. 8. 31.,"1,273"
17. 9. 1.,"1,176"
17. 9. 2.,721
17. 9. 3.,816
17. 9. 4.,"1,503"
17. 9. 5.,"1,585"
17. 9. 6.,"1,616"
17. 9. 7.,"1,602"
17. 9. 8.,"1,437"
17. 9. 9.,880
17. 9. 10.,"1,026"
17. 9. 11.,"1,884"
17. 9. 12.,"1,886"
17. 9. 13.,"1,872"
17. 9. 14.,"1,810"
17. 9. 15.,"1,459"
17. 9. 16.,897
17. 9. 17.,"1,169"
17. 9. 18.,"1,960"
17. 9. 19.,"2,180"
17. 9. 20.,"2,078"
17. 9. 21.,"1,798"
17. 9. 22.,"1,646"
17. 9. 23.,954
17. 9. 24.,"1,255"
17. 9. 25.,"2,022"
17. 9. 26.,"1,965"
17. 9. 27.,"1,782"
17. 9. 28.,"1,699"
17. 9. 29.,"1,209"
17. 9. 30.,636
17. 10. 1.,737
17. 10. 2.,710
17. 10. 3.,589
17. 10. 4.,492
17. 10. 5.,661
17. 10. 6.,777
17. 10. 7.,804
17. 10. 8.,915
17. 10. 9.,"1,308"
17. 10. 10.,"1,833"
17. 10. 11.,"1,842"
17. 10. 12.,"1,766"
17. 10. 13.,"1,511"
17. 10. 14.,"1,086"
17. 10. 15.,"1,343"
17. 10. 16.,"1,932"
17. 10. 17.,"1,877"
17. 10. 18.,"1,902"
17. 10. 19.,"1,696"
17. 10. 20.,"1,419"
17. 10. 21.,998
17. 10. 22.,"1,132"
17. 10. 23.,"1,773"
17. 10. 24.,"1,840"
17. 10. 25.,"1,745"
17. 10. 26.,"1,674"
17. 10. 27.,"1,428"
17. 10. 28.,813
17. 10. 29.,"1,072"
17. 10. 30.,"1,748"
17. 10. 31.,"1,805"
17. 11. 1.,"1,722"
17. 11. 2.,"1,824"
17. 11. 3.,"1,495"
17. 11. 4.,869
17. 11. 5.,"1,079"
17. 11. 6.,"1,900"
17. 11. 7.,"2,020"
17. 11. 8.,"1,964"
17. 11. 9.,"1,798"
17. 11. 10.,"1,408"
17. 11. 11.,855
17. 11. 12.,"1,123"
17. 11. 13.,"1,971"
17. 11. 14.,"1,986"
17. 11. 15.,"1,780"
17. 11. 16.,"1,835"
17. 11. 17.,"1,470"
17. 11. 18.,991
17. 11. 19.,"1,177"
17. 11. 20.,"2,001"
17. 11. 21.,"2,006"
17. 11. 22.,"1,939"
17. 11. 23.,"1,738"
17. 11. 24.,"1,528"
17. 11. 25.,"1,019"
17. 11. 26.,"1,207"
17. 11. 27.,"2,034"
17. 11. 28.,"2,043"
17. 11. 29.,"1,992"
17. 11. 30.,"1,893"
17. 12. 1.,"1,625"
17. 12. 2.,"1,239"
17. 12. 3.,"1,452"
17. 12. 4.,"2,101"
17. 12. 5.,"2,106"
17. 12. 6.,"1,937"
17. 12. 7.,"2,039"
17. 12. 8.,"1,740"
17. 12. 9.,"1,334"
17. 12. 10.,"1,461"
17. 12. 11.,"2,096"
17. 12. 12.,"1,955"
17. 12. 13.,"1,875"
17. 12. 14.,"1,824"
17. 12. 15.,"1,595"
17. 12. 16.,"1,006"
17. 12. 17.,"1,080"
17. 12. 18.,"1,685"
17. 12. 19.,"1,600"
17. 12. 20.,"1,597"
17. 12. 21.,"1,474"
17. 12. 22.,"1,112"
17. 12. 23.,518
17. 12. 24.,561
17. 12. 25.,626
17. 12. 26.,"1,232"
17. 12. 27.,"1,142"
17. 12. 28.,"1,151"
17. 12. 29.,927
17. 12. 30.,573
17. 12. 31.,504
